# Паттерн: df_addition_subtraction
df_addition_subtraction | 8.4 + 3.7
df_addition_subtraction | 12.5 - 4.9
df_addition_subtraction | 6.3 - 9.1
df_addition_subtraction | -5.8 + 2.3
df_addition_subtraction | -3.9 - 4.2
df_addition_subtraction | 15.1 + 0.9
df_addition_subtraction | 7.2 - 10.0
df_addition_subtraction | -1.5 + 8.3
df_addition_subtraction | 20.4 - 5.5
df_addition_subtraction | -9.6 - 1.4
df_addition_subtraction | 1.23 + 4.57
df_addition_subtraction | 8.05 - 2.35
df_addition_subtraction | -3.11 + 1.01
df_addition_subtraction | 14.7 - 7.7
df_addition_subtraction | -0.8 + 5.1
df_addition_subtraction | 9.9 - 11.2
df_addition_subtraction | 4.15 + 3.85
df_addition_subtraction | -6.4 - 2.8
df_addition_subtraction | 10.1 - 9.4
df_addition_subtraction | -2.7 + 2.7

# Паттерн: linear_operations
linear_operations | 5 · 1.2 + 3.4
linear_operations | -2.5 · 4 - 8.5
linear_operations | 6.8 - 2 · 3.1
linear_operations | -3 · (-2.2) + 1.4
linear_operations | 10.5 : 5 - 2.0
linear_operations | 4.8 + 6.4 : 4
linear_operations | 15.5 - 3 · 1.5
linear_operations | -1.8 · 10 + 25
linear_operations | 9.6 : (-3) - 1.8
linear_operations | 20 + (-7.5) · 2
linear_operations | 0.5 · 12 + 0.5
linear_operations | 1.1 · 6 - 6.6
linear_operations | -8.4 : 4 + 10
linear_operations | 3 · 4.5 - 5.5
linear_operations | -5 · 1.3 - 3.5
linear_operations | 4.2 - 9.9 : 3
linear_operations | 0.2 · (-50) + 12
linear_operations | 7.7 + 3 · (-2.1)
linear_operations | 18.6 : 6 - 3.1
linear_operations | -0.1 · 100 + 10

# Паттерн: fraction_structure
fraction_structure | 5.4 / (2.5 - 0.7)
fraction_structure | -8.2 / (1.8 + 2.3)
fraction_structure | 10 / (2.5 · 2)
fraction_structure | 6.3 / (4.2 - 5.1)
fraction_structure | (3.1 + 2.4) / 1.1
fraction_structure | 9.9 / (-1.5 - 1.8)
fraction_structure | (8.5 - 1.5) / 2
fraction_structure | -4.5 / (0.5 · 3)
fraction_structure | 14 / (8.5 + (-1.5))
fraction_structure | (1.2 + 3.3) / -0.9
fraction_structure | 2.6 / (1.1 - 2.4)
fraction_structure | -20 / (2.5 · (-4))
fraction_structure | 1.8 / (5.6 - 5.0)
fraction_structure | (9.3 - 3.3) / 1.5
fraction_structure | 7.5 / (-0.5 · 5)
fraction_structure | 10.8 / (1.2 · 3)
fraction_structure | -1.1 / (4.4 - 3.3)
fraction_structure | 12.1 / (6.8 - 5.7)
fraction_structure | (10 - 2.5) / 2.5
fraction_structure | 100 / (2.5 · 8)
